question,ground_truth
Hạt nào có spin bằng 1/2?,electron
Enzyme nào tổng hợp RNA?,RNA polymerase
Nguyên tố nào có nhiệt dung riêng cao nhất?,hydrogen
Vitamin nào cần thiết cho chức năng thần kinh?,vitamin B12
Tế bào nào sản xuất calcitonin?,C cell
Nguyên tố nào tạo thành amino acid cysteine?,sulfur
Hormone nào tăng huyết áp?,angiotensin II
Loại sóng nào có tần số cao nhất?,tia gamma
Protein nào chính trong móng tay?,keratin
Nguyên tố nào có năng lượng liên kết cao nhất?,sắt
Quá trình nào tạo urea từ ammonia?,chu trình urea
Hạt nào có thời gian sống ngắn nhất?,muon
Enzyme nào phân hủy hydrogen peroxide?,catalase
Nguyên tố nào có tính dẫn nhiệt tốt nhất?,kim cương
Vitamin nào cần thiết cho tổng hợp DNA?,folate
Tế bào nào sản xuất erythropoietin?,kidney cell
