"question","ground_truth"
"Vấn đề tô màu đồ thị có độ phức tạp tính toán như thế nào?","NP-complete"
"Định lý Hales về bài toán Kepler được chứng minh bằng cách nào?","Chứng minh hỗ trợ máy tính"
"Lý thuyết Iwasawa được phát triển bởi ai?","Kenkichi Iwasawa"
"Giả thuyết Sato-Tate liên quan đến đường cong elliptic như thế nào?","Phân bố các giá trị riêng của Frobenius"
"Hằng số Euler-Maclaurin có ứng dụng trong lĩnh vực nào?","Tính toán tích phân và tổng"
"Định lý đơn thức của Hironaka giải quyết vấn đề gì?","Giải kỳ dị trong hình học đại số"
"Lý thuyết đại số thuần nhất được phát triển bởi ai?","Alexander Grothendieck"
"Giả thuyết Artin về L-functions nói về điều gì?","Tính giải tích của L-functions"
"Định lý Wiener-Ikehara có ứng dụng trong chứng minh nào?","Định lý số nguyên tố"
"Hằng số Hardy-Littlewood có liên quan đến vấn đề gì?","Giả thuyết twin prime"
"Vấn đề Burnside về nhóm hữu hạn sinh bởi n phần tử với số mũ m được giải quyết khi nào?","Một phần vào thế kỷ 20"
"Định lý Deligne về giả thuyết Weil được chứng minh năm nào?","1974"
"Lý thuyết étale cohomology được phát triển để làm gì?","Chứng minh giả thuyết Weil"
"Giả thuyết BSD cho đường cong elliptic dự đoán gì?","Rank của nhóm Mordell-Weil"
"Hằng số Lévy có giá trị xấp xỉ là bao nhiêu?","3.2758229187"
"Định lý Erdős-Ko-Rado thuộc lĩnh vực nào?","Tổ hợp học"
"Lý thuyết quản lý knot được phát triển chính bởi ai?","John Conway và nhiều người khác"
"Giả thuyết Erdős về discrepancy nói về điều gì?","Tô màu hypergraph"
"Định lý Hahn-Banach có ứng dụng trong không gian nào?","Không gian định chuẩn"
"Hằng số Rényi có liên quan đến lĩnh vực nào?","Lý thuyết thông tin"
"Vấn đề word problem cho nhóm có độ phức tạp gì?","Không thể giải quyết nói chung"
"Định lý Nash về điểm cân bằng thuộc lĩnh vực nào?","Lý thuyết trò chơi"
"Lý thuyết spectral sequence được phát triển bởi ai?","Jean Leray"
"Giả thuyết Connes về hình học phi giao hoán liên quan đến gì?","Vật lý lượng tử và hình học"
"Hằng số Glaisher-Kinkelin có công thức liên quan đến gì?","Hàm Gamma và hàm Zeta"
"Định lý resolution of singularities trong đặc số dương do ai chứng minh?","Hironaka (đặc số 0) và de Jong (một phần đặc số dương)"
"Lý thuyết operads được phát triển để nghiên cứu gì?","Cấu trúc đại số cao hơn"
"Giả thuyết Kummer cho đường cong elliptic nói về gì?","Rank hữu hạn của nhóm Mordell-Weil"
"Định lý Gauss-Bonnet liên kết hình học vi phân với gì?","Tô-pô"
"Hằng số second du Bois-Reymond có giá trị gì?","1.781072417990"
"Vấn đề Distinct distances của Erdős có tiến triển gì gần đây?","Guth và Katz đã có tiến bộ đáng kể"
"Định lý uniformization của Riemann surfaces do ai chứng minh?","Koebe và Poincaré"
"Lý thuyết derived categories được phát triển bởi ai?","Jean-Louis Verdier"
"Giả thuyết Manin về rational points trên varieties nói gì?","Mật độ asymptotic của rational points"
"Hằng số Alladi-Grinstead có liên quan đến phân tích gì?","Phân tích số nguyên"
"Định lý Gromov về nhóm hyperbolic có ý nghĩa gì?","Mở rộng khái niệm hyperbolic cho nhóm"
"Lý thuyết motivic cohomology được phát triển để làm gì?","Thống nhất các lý thuyết cohomology"
"Giả thuyết Zilber-Pink về unlikely intersections nói về gì?","Giao điểm đặc biệt trong hình học Diophantine"
"Định lý Ax-Schanuel có ứng dụng trong lĩnh vực nào?","Lý thuyết số siêu việt"
"Hằng số Meissel-Mertens có liên quan đến hàm gì?","Hàm đếm số nguyên tố"
"Vấn đề sunflower lemma của Erdős-Ko-Rado đã được cải thiện bởi ai?","Alweiss, Lovett, Wu, và Zhang"
"Định lý Hasse-Minkowski cho quadratic forms nói về gì?","Nguyên lý local-global"
"Lý thuyết perfectoid spaces được phát triển bởi ai?","Peter Scholze"
"Giả thuyết André-Oort về special points nói gì?","Phân bố của special points trên Shimura varieties"
"Hằng số Gibbs có giá trị chính xác là bao nhiêu?","1.851937051982"
"Định lý polynomial Freiman-Ruzsa được chứng minh bởi ai?","Green và Ruzsa"
"Lý thuyết prismatic cohomology do ai phát triển?","Bhatt và Scholze"
"Giả thuyết Elliott-Halberstam về phân bố số nguyên tố trong cấp số cộng nói gì?","Tổng quát hóa định lý Bombieri-Vinogradov"
"Định lý Borel-Cantelli có ứng dụng trong lý thuyết gì?","Lý thuyết xác suất và số học"
"Hằng số Khintchine-Lévy có giá trị gần đúng là bao nhiêu?","1.1865691104"
"Vấn đề cap set của Erdős đã được giải quyết bằng phương pháp nào?","Polynomial method"
"Định lý Gelfond-Schneider chứng minh tính siêu việt của những số nào?","α^β với α đại số ≠ 0,1 và β vô tỷ đại số"
"Lý thuyết relative Langlands được phát triển để nghiên cứu gì?","Mở rộng lý thuyết Langlands"
"Giả thuyết Vojta về heights và rational points có mối liên hệ với giả thuyết nào?","Giả thuyết Bombieri-Lang"
"Hằng số Gelfond có giá trị là bao nhiêu?","e^π"
"Định lý slice theorem trong lý thuyết bất biến do ai chứng minh?","Reductive group actions"
"Lý thuyết anabelian geometry được Grothendieck phát triển dựa trên ý tưởng gì?","Phục hồi schemes từ fundamental groups"
